,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
0,0,True,[14.19882957 88.19097809],[14.64918466 88.45067957],1,750,0,,1,0.45035508540480085,0.7791044378806206,black,"[(14.040948899921435, 88.50823687692646)]"
1,1,False,[73.84096362 82.1179743 ],[74.27536653 82.36038104],1,0,0,,0,0.7819252359958638,0.7272202005649736,silver,"[(74.29444143029569, 82.48702064101539)]"
2,2,False,[37.30563392 14.98046466],[36.56823282 14.83054798],1,0,0,,0,0.7374011038138176,0.4497500226222384,yellowgreen,"[(36.99077765477457, 14.774961000402408)]"
3,3,False,[24.70924507 52.34777016],[24.63015866 51.68458525],1,0,0,,0,0.7117776400038414,0.8526663143740968,hotpink,"[(24.984395486474522, 53.04468330396008)]"
4,4,False,[81.4045709  77.74085272],[81.82502228 77.26078013],1,0,0,,0,0.42045138859053555,0.8641306711206196,honeydew,"[(81.86060849409603, 78.48709417462932)]"
5,5,False,[77.29225289 46.66330333],[77.32785678 46.58851676],1,0,0,,0,0.320434987291913,0.07478657159598623,tan,"[(77.43473691138954, 47.04591727448232)]"
6,6,False,[14.42303418 63.9418042 ],[13.87345763 63.99719039],1,0,0,,0,0.9892377976410677,0.09969515219184888,turquoise,"[(14.345984116587278, 64.2533551513593)]"
7,7,False,[20.94170963 39.78538927],[21.1438278  38.82528324],1,0,0,,0,0.3638127060810519,0.9601060330348581,cyan,"[(22.05185872259549, 38.77227652654581)]"
8,8,False,[94.05254959 13.68205688],[93.12094458 14.30315318],1,0,0,,0,0.9316050086603507,0.7985523843153267,coral,"[(93.36367205124442, 13.100681263208772)]"
9,9,False,[47.91493422 80.94991679],[47.74711168 80.95161109],1,0,0,,0,0.5034676392716915,0.015248655959436919,mistyrose,"[(47.30963691731715, 81.70424453487378)]"
10,10,False,[80.86786303 80.2230787 ],[80.76424299 80.3229285 ],1,0,0,,0,0.13322576414731868,0.8986481845297691,darkgoldenrod,"[(79.81973430298126, 79.51354676610752)]"
